measure,quantile,time,sex,age,value,ethnic
lx,50%,2022-2024,Male,22,98930,NZ total
lx,50%,2022-2024,Male,23,98860,NZ total
lx,50%,2022-2024,Male,24,98788,NZ total
lx,50%,2022-2024,Male,25,98713,NZ total
lx,50%,2022-2024,Male,26,98638,NZ total
lx,50%,2022-2024,Male,27,98563,NZ total
lx,50%,2022-2024,Male,28,98489,NZ total
lx,50%,2022-2024,Male,29,98415,NZ total
lx,50%,2022-2024,Male,30,98340,NZ total
lx,50%,2022-2024,Male,31,98264,NZ total
lx,50%,2022-2024,Male,32,98187,NZ total
lx,50%,2022-2024,Male,33,98108,NZ total
lx,50%,2022-2024,Male,34,98026,NZ total
lx,50%,2022-2024,Male,35,97942,NZ total
lx,50%,2022-2024,Male,36,97854,NZ total
lx,50%,2022-2024,Male,37,97762,NZ total
lx,50%,2022-2024,Male,38,97666,NZ total
lx,50%,2022-2024,Male,39,97565,NZ total
lx,50%,2022-2024,Male,40,97457,NZ total
lx,50%,2022-2024,Male,41,97340,NZ total
lx,50%,2022-2024,Male,42,97210,NZ total
lx,50%,2022-2024,Male,43,97069,NZ total
lx,50%,2022-2024,Male,44,96910,NZ total
lx,50%,2022-2024,Male,45,96738,NZ total
lx,50%,2022-2024,Male,46,96553,NZ total
lx,50%,2022-2024,Male,47,96355,NZ total
lx,50%,2022-2024,Male,48,96143,NZ total
lx,50%,2022-2024,Male,49,95910,NZ total
lx,50%,2022-2024,Male,50,95653,NZ total
lx,50%,2022-2024,Male,51,95375,NZ total
lx,50%,2022-2024,Male,52,95075,NZ total
lx,50%,2022-2024,Male,53,94747,NZ total
lx,50%,2022-2024,Male,54,94393,NZ total
lx,50%,2022-2024,Male,55,94005,NZ total
lx,50%,2022-2024,Male,56,93580,NZ total
lx,50%,2022-2024,Male,57,93115,NZ total
lx,50%,2022-2024,Male,58,92611,NZ total
lx,50%,2022-2024,Male,59,92064,NZ total
lx,50%,2022-2024,Male,60,91472,NZ total
lx,50%,2022-2024,Male,61,90836,NZ total
lx,50%,2022-2024,Male,62,90149,NZ total
lx,50%,2022-2024,Male,63,89409,NZ total
lx,50%,2022-2024,Male,64,88614,NZ total
lx,50%,2022-2024,Male,65,87763,NZ total
lx,50%,2022-2024,Male,66,86846,NZ total
lx,50%,2022-2024,Male,67,85863,NZ total
lx,50%,2022-2024,Male,68,84803,NZ total
lx,50%,2022-2024,Male,69,83662,NZ total
lx,50%,2022-2024,Male,70,82430,NZ total
lx,50%,2022-2024,Male,71,81099,NZ total
lx,50%,2022-2024,Male,72,79654,NZ total
lx,50%,2022-2024,Male,73,78086,NZ total
lx,50%,2022-2024,Male,74,76383,NZ total
lx,50%,2022-2024,Male,75,74535,NZ total
lx,50%,2022-2024,Male,76,72527,NZ total
lx,50%,2022-2024,Male,77,70346,NZ total
lx,50%,2022-2024,Male,78,67976,NZ total
lx,50%,2022-2024,Male,79,65410,NZ total
lx,50%,2022-2024,Male,80,62631,NZ total
lx,50%,2022-2024,Male,81,59625,NZ total
lx,50%,2022-2024,Male,82,56383,NZ total
lx,50%,2022-2024,Male,83,52909,NZ total
lx,50%,2022-2024,Male,84,49200,NZ total
lx,50%,2022-2024,Male,85,45282,NZ total
lx,50%,2022-2024,Male,86,41180,NZ total
lx,50%,2022-2024,Male,87,36944,NZ total
lx,50%,2022-2024,Male,88,32635,NZ total
lx,50%,2022-2024,Male,89,28329,NZ total
lx,50%,2022-2024,Male,90,24122,NZ total
lx,50%,2022-2024,Male,91,20098,NZ total
lx,50%,2022-2024,Male,92,16355,NZ total
lx,50%,2022-2024,Male,93,12964,NZ total
lx,50%,2022-2024,Male,94,9992,NZ total
lx,50%,2022-2024,Male,95,7467,NZ total
lx,50%,2022-2024,Male,96,5398,NZ total
lx,50%,2022-2024,Male,97,3766,NZ total
lx,50%,2022-2024,Male,98,2532,NZ total
lx,50%,2022-2024,Male,99,1639,NZ total
lx,50%,2022-2024,Male,100,1017,NZ total
lx,50%,2022-2024,Male,101,605,NZ total
lx,50%,2022-2024,Male,102,344,NZ total
lx,50%,2022-2024,Male,103,187,NZ total
lx,50%,2022-2024,Male,104,97,NZ total
lx,50%,2022-2024,Male,105+,47,NZ total
lx,97.50%,2022-2024,Female,0,100000,NZ total
